论文章节,表格编号,方法名称,指标名称,论文声明值,复现实验值,差值,相对误差,是否一致,是否建议修改,修改建议
§4.1,表1,骨干基线,参数量/M,6.42,2.998,-3.422,-53.3%,否,是,实测res_blocks=1为2.998M；若使用res_blocks=4则为6.245M（-2.7%）；需确认论文使用哪种配置
§4.1,表1,LUCIDMine,参数量/M,6.48,3.015,-3.465,-53.5%,否,是,实测res_blocks=1为3.015M；若使用res_blocks=4则为6.263M（-3.3%）；VCA+GARC增量为0.0172M（非0.05M）
§4.1,表1,骨干基线,FLOPs/G,48.7,88.5(1080p),+39.8,+81.7%,否,是,实测1080p FLOPs为88.5G；需确认论文FLOPs测量分辨率（若非1080p则需说明）
§4.1,表1,LUCIDMine,FLOPs/G,49.6,88.7(1080p),+39.1,+78.8%,否,是,同上
§4.1,表1,骨干基线,FPS,27.4,未测（Modal消费额度已耗尽，无GPU环境）,-,待测,待验证,待验证,RTX 3090环境不可访问；Modal A10G额度耗尽；FPS/时延声明无法独立验证
§4.1,表1,LUCIDMine,FPS,26.8,未测（Modal消费额度已耗尽，无GPU环境）,-,待测,待验证,待验证,RTX 3090环境不可访问；Modal A10G额度耗尽；FPS/时延声明无法独立验证
§4.1,表1,骨干基线,GPU时延/ms,36.5,未测（Modal消费额度已耗尽，无GPU环境）,-,待测,待验证,待验证,RTX 3090环境不可访问；Modal A10G额度耗尽；FPS/时延声明无法独立验证
§4.1,表1,LUCIDMine,GPU时延/ms,37.3,未测（Modal消费额度已耗尽，无GPU环境）,-,待测,待验证,待验证,RTX 3090环境不可访问；Modal A10G额度耗尽；FPS/时延声明无法独立验证
§4.1,表1,RIDCP,参数量/M,9.86,未测,-,未测,未验证,待验证,需RIDCP代码
§4.1,表1,RIDCP,FLOPs/G,72.4,未测,-,未测,未验证,待验证,需RIDCP代码
§4.2,表2,输入原图,PSNR↑/dB,21.84,18.908(代理集),-2.932,-13.4%,不可比较（测试集不同）,待验证,⚠️代理集(n=152 RIDCP伪标签)≠论文集(n=288真实配对)；差值来自数据集差异而非方法问题
§4.2,表2,输入原图,SSIM↑,0.936,0.7549(代理集),-0.181,-19.3%,不可比较（测试集不同）,待验证,同上
§4.2,表2,输入原图,MAE↓,0.073,0.0920(代理集),+0.019,+26.0%,不可比较（测试集不同）,待验证,同上
§4.2,表2,输入原图,Vis↑,0.889,0.526(代理集),-0.363,-40.8%,不可比较（测试集不同）,待验证,Vis归一化基准不同；40视频场景整体暗于论文测试场景
